OG0000000	sp|C0HL66|H33A_DROME Histone H3.3A OS=Drosophila melanogaster OX=7227 GN=His3.3A PE=1 SV=1
OG0009321	sp|A0ZSK4|STXB_SYNVE Neoverrucotoxin subunit beta OS=Synanceia verrucosa OX=51996 PE=1 SV=1
OG0009322	sp|A7RR34|FLTOP_NEMVE Protein Flattop homolog OS=Nematostella vectensis OX=45351 GN=v1g200856 PE=3 SV=1
OG0009324	sp|P18084|ITB5_HUMAN Integrin beta-5 OS=Homo sapiens OX=9606 GN=ITGB5 PE=1 SV=1
OG0009325	sp|A0PJE2|DHR12_HUMAN Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens OX=9606 GN=DHRS12 PE=2 SV=2
OG0009326	sp|Q5ZKW5|AR2BP_CHICK ADP-ribosylation factor-like protein 2-binding
OG0009327	sp|P35441|TSP1_MOUSE Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1
OG0009330	sp|O22254|RL181_ARATH Putative 60S ribosomal protein L18-1 OS=Arabidopsis thaliana OX=3702 GN=RPL18A PE=3 SV=3
OG0009334	sp|Q9U0E6|PROF_SUBDO Profilin OS=Suberites domuncula OX=55567 PE=2 SV=1
OG0009337	sp|Q2TBU8|MED21_BOVIN Mediator of RNA polymerase II transcription subunit 21 OS=Bos taurus OX=9913 GN=MED21 PE=2 SV=1
OG0009338	sp|Q8R4F0|MCLN3_MOUSE Mucolipin-3 OS=Mus musculus OX=10090 GN=Mcoln3 PE=1 SV=1
OG0009339	sp|Q59A28|QORL1_BOVIN Quinone oxidoreductase-like protein 1 OS=Bos taurus OX=9913 GN=CRYZL1 PE=2 SV=1
OG0009340	sp|Q9VKM6|VPS72_DROME Vacuolar protein 72 homolog OS=Drosophila melanogaster OX=7227 GN=YL-1 PE=1 SV=1
OG0009342	sp|Q5ZJV6|RCAN3_CHICK Calcipressin-3 OS=Gallus gallus OX=9031 GN=RCAN3 PE=2 SV=2
OG0009343	sp|Q08326|MSS4_RAT Guanine nucleotide exchange factor MSS4 OS=Rattus norvegicus OX=10116 GN=Rabif PE=1 SV=1
OG0009344	sp|Q08BW6|CO041_DANRE Uncharacterized protein C15orf41 homolog OS=Danio rerio OX=7955 GN=zgc154061 PE=2 SV=1
OG0009347	sp|B1AUE5|PEX10_MOUSE Peroxisome biogenesis factor 10 OS=Mus musculus OX=10090 GN=Pex10 PE=2 SV=1
OG0009348	sp|O60041|CALM_KLULA Calmodulin OS=Kluyveromyces lactis (strain ATCC 8585 / WM37) OX=284590 GN=CMD1 PE=1 SV=1
OG0009350	sp|Q76KB2|H6ST1_CHICK Heparan-sulfate 6-O-sulfotransferase 1 OS=Gallus gallus OX=9031 GN=HS6ST1 PE=1 SV=4
OG0009351	sp|Q7ZWN4|MIDNA_XENLA Midnolin-A OS=Xenopus laevis OX=8355 GN=midn-a PE=2 SV=1
OG0009352	sp|Q9Y6A2|CP46A_HUMAN Cholesterol 24-hydroxylase OS=Homo sapiens OX=9606 GN=CYP46A1 PE=1 SV=1
OG0009354	sp|P58421|FZD5_XENLA Frizzled-5 OS=Xenopus laevis OX=8355 GN=fzd5 PE=2 SV=1
OG0009356	sp|Q8UWD7|GDF8_SYNCH Growth/differentiation factor 8 OS=Synoicus chinensis OX=46218 GN=MSTN PE=2 SV=1
OG0009358	sp|O13632|PVH1_SCHPO Tyrosine-protein phosphatase yvh1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=yvh1 PE=3 SV=1
OG0009362	sp|Q12531|YP015_YEAST Zinc finger protein YPR015C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR015C PE=4 SV=1
OG0009364	sp|Q9ERQ8|CAH7_MOUSE Carbonic anhydrase 7 OS=Mus musculus OX=10090 GN=Ca7 PE=1 SV=2
OG0009368	sp|Q99LW6|YAF2_MOUSE YY1-associated factor 2 OS=Mus musculus OX=10090 GN=Yaf2 PE=1 SV=1
OG0009369	sp|A8E7N9|GDF6B_DANRE Growth/differentiation factor 6-B OS=Danio rerio OX=7955 GN=gdf6b PE=2 SV=1
OG0009370	sp|Q05B78|ZFY21_BOVIN Zinc finger FYVE domain-containing protein 21 OS=Bos taurus OX=9913 GN=ZFYVE21 PE=2 SV=1
OG0009372	sp|Q8T938|PROF_BRABE Profilin OS=Branchiostoma belcheri OX=7741 PE=2 SV=1
OG0009374	sp|Q2HZX7|FUZZY_XENTR Protein fuzzy homolog OS=Xenopus tropicalis OX=8364 GN=fuz PE=1 SV=1
OG0009375	sp|Q7ZY08|UBE2T_XENLA Ubiquitin-conjugating enzyme E2 T OS=Xenopus laevis OX=8355 GN=ube2t PE=2 SV=1
OG0009376	sp|Q9BXW7|HDHD5_HUMAN Haloacid dehalogenase-like hydrolase domain-containing 5 OS=Homo sapiens OX=9606 GN=HDHD5 PE=1 SV=1
OG0009377	sp|P17635|FMO2_RABIT Dimethylaniline monooxygenase
OG0009378	sp|Q9R0Z7|AAGAB_RAT Alpha- and gamma-adaptin-binding protein p34 OS=Rattus norvegicus OX=10116 GN=Aagab PE=1 SV=1
OG0009379	sp|P22127|RAB10_DIPOM Ras-related protein Rab-10 OS=Diplobatis ommata OX=1870830 PE=2 SV=1
OG0009380	sp|Q2VPL9|F221A_XENLA Protein FAM221A OS=Xenopus laevis OX=8355 GN=fam221a PE=2 SV=1
OG0009384	sp|Q5M782|RIPB_XENLA RPA-interacting protein B OS=Xenopus laevis OX=8355 GN=rpain-b PE=2 SV=2
OG0009387	sp|O14681|EI24_HUMAN Etoposide-induced protein 2.4 homolog OS=Homo sapiens OX=9606 GN=EI24 PE=1 SV=4
OG0009388	sp|O74800|IMP1_SCHPO Mitochondrial inner membrane protease subunit 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=imp1 PE=3 SV=1
OG0009389	sp|Q08AV8|IKBP1_XENLA Interleukin-1 receptor-associated kinase 1-binding protein 1 homolog OS=Xenopus laevis OX=8355 GN=irak1bp1 PE=2 SV=1
OG0009392	sp|Q9CQZ7|RPC10_MOUSE DNA-directed RNA polymerase III subunit RPC10 OS=Mus musculus OX=10090 GN=Polr3k PE=3 SV=1
OG0009393	sp|Q8BP27|SFR1_MOUSE Swi5-dependent recombination DNA repair protein 1 homolog OS=Mus musculus OX=10090 GN=Sfr1 PE=1 SV=2
OG0009394	sp|Q9NW38|FANCL_HUMAN E3 ubiquitin-protein ligase FANCL OS=Homo sapiens OX=9606 GN=FANCL PE=1 SV=2
OG0009396	sp|Q9BV81|EMC6_HUMAN ER membrane protein complex subunit 6 OS=Homo sapiens OX=9606 GN=EMC6 PE=1 SV=1
OG0009398	sp|Q3TMV7|PYRD1_MOUSE Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pyroxd1 PE=2 SV=1
OG0009399	sp|Q5M7D6|P4R2A_XENLA Serine/threonine-protein phosphatase 4 regulatory subunit 2-A OS=Xenopus laevis OX=8355 GN=ppp4r2-a PE=2 SV=1
OG0009410	sp|Q8TCT0|CERK1_HUMAN Ceramide kinase OS=Homo sapiens OX=9606 GN=CERK PE=1 SV=1
OG0009423	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog OS=Nycticebus coucang OX=9470 PE=3 SV=1
OG0009428	sp|P35447|SPON1_XENLA Spondin-1 OS=Xenopus laevis OX=8355 GN=spon1 PE=2 SV=1
OG0009429	sp|Q92968|PEX13_HUMAN Peroxisomal membrane protein PEX13 OS=Homo sapiens OX=9606 GN=PEX13 PE=1 SV=2
OG0009430	sp|Q9UDW3|ZMAT5_HUMAN Zinc finger matrin-type protein 5 OS=Homo sapiens OX=9606 GN=ZMAT5 PE=1 SV=1
OG0009432	sp|Q3UST5|CP089_MOUSE UPF0764 protein C16orf89 homolog OS=Mus musculus OX=10090 PE=2 SV=2
OG0009433	sp|P13051|UNG_HUMAN Uracil-DNA glycosylase OS=Homo sapiens OX=9606 GN=UNG PE=1 SV=2
OG0009434	sp|Q24JY4|ZNHI1_BOVIN Zinc finger HIT domain-containing protein 1 OS=Bos taurus OX=9913 GN=ZNHIT1 PE=2 SV=1
OG0009435	sp|Q4V8W7|UBTD1_DANRE Ubiquitin domain-containing protein 1 OS=Danio rerio OX=7955 GN=ubtd1 PE=2 SV=1
OG0009436	sp|P49119|CDKA1_MESAU Cyclin-dependent kinase 2-associated protein 1 OS=Mesocricetus auratus OX=10036 GN=CDK2AP1 PE=2 SV=1
OG0009437	sp|Q23915|KINX_DICDI Probable serine/threonine-protein kinase kinX OS=Dictyostelium discoideum OX=44689 GN=kinX PE=3 SV=2
OG0009438	sp|Q8K4K4|TRIB1_MOUSE Tribbles homolog 1 OS=Mus musculus OX=10090 GN=Trib1 PE=2 SV=2
OG0009439	sp|P30736|RL15_CHITE 60S ribosomal protein L15 OS=Chironomus tentans OX=7153 GN=RpL15 PE=3 SV=3
OG0009440	sp|A6QLK2|SOSB1_BOVIN SOSS complex subunit B1 OS=Bos taurus OX=9913 GN=NABP2 PE=2 SV=1
OG0009441	sp|Q9UI43|MRM2_HUMAN rRNA methyltransferase 2 mitochondrial OS=Homo sapiens OX=9606 GN=MRM2 PE=1 SV=1
OG0009442	sp|Q9CRW3|CB076_MOUSE UPF0538 protein C2orf76 homolog OS=Mus musculus OX=10090 PE=1 SV=2
OG0009445	sp|Q5FWF4|ZRAB3_HUMAN DNA annealing helicase and endonuclease ZRANB3 OS=Homo sapiens OX=9606 GN=ZRANB3 PE=1 SV=2
OG0009446	sp|Q9D5U8|CNBD2_MOUSE Cyclic nucleotide-binding domain-containing protein 2 OS=Mus musculus OX=10090 GN=Cnbd2 PE=1 SV=2
OG0009447	sp|A3KMW7|MAP10_BOVIN Microtubule-associated protein 10 OS=Bos taurus OX=9913 GN=MAP10 PE=2 SV=1
OG0009448	sp|Q3B7M7|RMP_BOVIN Unconventional prefoldin RPB5 interactor OS=Bos taurus OX=9913 GN=URI1 PE=2 SV=1
OG0009449	sp|Q96A99|PTX4_HUMAN Pentraxin-4 OS=Homo sapiens OX=9606 GN=PTX4 PE=2 SV=2
OG0009453	sp|Q03112|MECOM_HUMAN MDS1 and EVI1 complex locus protein OS=Homo sapiens OX=9606 GN=MECOM PE=1 SV=3
OG0009454	sp|Q5R6I6|S39AD_PONAB Zinc transporter ZIP13 OS=Pongo abelii OX=9601 GN=SLC39A13 PE=2 SV=1
OG0009455	sp|P32246|CCR1_HUMAN C-C chemokine receptor type 1 OS=Homo sapiens OX=9606 GN=CCR1 PE=1 SV=1
OG0009462	sp|P10925|ZFY1_MOUSE Zinc finger Y-chromosomal protein 1 OS=Mus musculus OX=10090 GN=Zfy1 PE=2 SV=3
OG0009463	sp|Q99LG4|TTC5_MOUSE Tetratricopeptide repeat protein 5 OS=Mus musculus OX=10090 GN=Ttc5 PE=1 SV=2
OG0009464	sp|Q9Y693|LHPL6_HUMAN LHFPL tetraspan subfamily member 6 protein OS=Homo sapiens OX=9606 GN=LHFPL6 PE=2 SV=1
OG0009466	sp|O60671|RAD1_HUMAN Cell cycle checkpoint protein RAD1 OS=Homo sapiens OX=9606 GN=RAD1 PE=1 SV=1
OG0009467	sp|Q6RIA2|PAF15_RAT PCNA-associated factor OS=Rattus norvegicus OX=10116 GN=Pclaf PE=3 SV=1
OG0009468	sp|Q9VTU1|APG12_DROME Autophagy protein 12-like OS=Drosophila melanogaster OX=7227 GN=Atg12 PE=3 SV=3
OG0009470	sp|P36895|BMR1A_MOUSE Bone morphogenetic protein receptor type-1A OS=Mus musculus OX=10090 GN=Bmpr1a PE=2 SV=1
OG0009473	sp|O95619|YETS4_HUMAN YEATS domain-containing protein 4 OS=Homo sapiens OX=9606 GN=YEATS4 PE=1 SV=1
OG0009474	sp|A0JN27|TF2H2_RAT General transcription factor IIH subunit 2 OS=Rattus norvegicus OX=10116 GN=Gtf2h2 PE=1 SV=1
OG0009475	sp|Q11208|PARP_SARPE Poly
OG0009478	sp|P28583|CDPK_SOYBN Calcium-dependent protein kinase SK5 OS=Glycine max OX=3847 PE=1 SV=1
OG0009480	sp|Q9W6S8|SMN1_DANRE Survival motor neuron protein 1 OS=Danio rerio OX=7955 GN=smn1 PE=1 SV=1
OG0009482	sp|Q96FB5|RRNAD_HUMAN Protein RRNAD1 OS=Homo sapiens OX=9606 GN=RRNAD1 PE=2 SV=2
OG0009484	sp|P52656|T2AG_DROME Transcription initiation factor IIA subunit 2 OS=Drosophila melanogaster OX=7227 GN=TfIIA-S PE=1 SV=1
OG0009487	sp|Q708S6|ASI1C_DANRE Acid-sensing ion channel 1C OS=Danio rerio OX=7955 GN=asic1c PE=1 SV=1
OG0009489	sp|Q3ZBY3|CALB2_BOVIN Calretinin OS=Bos taurus OX=9913 GN=CALB2 PE=2 SV=1
OG0009493	sp|A0A0D3QS97|NOTU2_XENLA Palmitoleoyl-protein carboxylesterase notum2 OS=Xenopus laevis OX=8355 GN=notum2 PE=2 SV=1
OG0009502	sp|Q16526|CRY1_HUMAN Cryptochrome-1 OS=Homo sapiens OX=9606 GN=CRY1 PE=1 SV=1
OG0009504	sp|Q9UNW9|NOVA2_HUMAN RNA-binding protein Nova-2 OS=Homo sapiens OX=9606 GN=NOVA2 PE=1 SV=1
OG0009509	sp|Q58A42|DD3_DICDI Protein DD3-3 OS=Dictyostelium discoideum OX=44689 GN=DD3-3 PE=2 SV=1
OG0009513	sp|M9PBE2|HAKAI_DROME E3 ubiquitin-protein ligase Hakai OS=Drosophila melanogaster OX=7227 GN=Hakai PE=1 SV=1
OG0009514	sp|Q5XK67|RPAC2_XENLA DNA-directed RNA polymerases I and III subunit RPAC2 OS=Xenopus laevis OX=8355 GN=polr1d PE=3 SV=1
OG0009515	sp|Q5ZJ58|PI51B_CHICK Phosphatidylinositol 4-phosphate 5-kinase type-1 beta OS=Gallus gallus OX=9031 GN=PIP5K1B PE=2 SV=1
OG0009518	sp|Q0VCM2|TM187_BOVIN Transmembrane protein 187 OS=Bos taurus OX=9913 GN=TMEM187 PE=2 SV=1
OG0009519	sp|Q9Y6A9|SPCS1_HUMAN Signal peptidase complex subunit 1 OS=Homo sapiens OX=9606 GN=SPCS1 PE=1 SV=4
OG0009522	sp|P48590|FTZ_DROHY Segmentation protein fushi tarazu OS=Drosophila hydei OX=7224 GN=ftz PE=3 SV=1
OG0009523	sp|P06909|CFAH_MOUSE Complement factor H OS=Mus musculus OX=10090 GN=Cfh PE=1 SV=2
OG0009528	sp|Q09470|KCNA1_HUMAN Potassium voltage-gated channel subfamily A member 1 OS=Homo sapiens OX=9606 GN=KCNA1 PE=1 SV=2
OG0009529	sp|Q5R824|NNRD_PONAB ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Pongo abelii OX=9601 GN=NAXD PE=2 SV=1
OG0009530	sp|P51106|DFRA_HORVU Dihydroflavonol 4-reductase OS=Hordeum vulgare OX=4513 GN=ANT18 PE=3 SV=1
OG0009535	sp|Q9D4G2|HSF2B_MOUSE Heat shock factor 2-binding protein OS=Mus musculus OX=10090 GN=Hsf2bp PE=1 SV=1
OG0009537	sp|Q35101|COX1_METSE Cytochrome c oxidase subunit 1 OS=Metridium senile OX=6116 GN=COI PE=3 SV=1
OG0009539	sp|Q8VHX6|FLNC_MOUSE Filamin-C OS=Mus musculus OX=10090 GN=Flnc PE=1 SV=3
OG0009544	sp|Q62312|TGFR2_MOUSE TGF-beta receptor type-2 OS=Mus musculus OX=10090 GN=Tgfbr2 PE=1 SV=1
OG0009549	sp|P04464|CALM_WHEAT Calmodulin OS=Triticum aestivum OX=4565 PE=1 SV=3
OG0009550	sp|Q9CQ66|TC1D2_MOUSE Tctex1 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Tctex1d2 PE=1 SV=1
OG0009551	sp|B4L1Z8|ENY2_DROMO Enhancer of yellow 2 transcription factor OS=Drosophila mojavensis OX=7230 GN=e(y)2 PE=3 SV=1
OG0009552	sp|Q5M965|THG1_RAT Probable tRNA(His) guanylyltransferase OS=Rattus norvegicus OX=10116 GN=Thg1l PE=2 SV=1
OG0009553	sp|Q24JQ0|TM241_HUMAN Transmembrane protein 241 OS=Homo sapiens OX=9606 GN=TMEM241 PE=2 SV=1
OG0009554	sp|O95373|IPO7_HUMAN Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1
OG0009555	sp|O48649|ARF1_SALBA ADP-ribosylation factor 1 OS=Salix bakko OX=72444 GN=ARF1 PE=2 SV=3
OG0009556	sp|A5WUL3|MED22_DANRE Mediator of RNA polymerase II transcription subunit 22 OS=Danio rerio OX=7955 GN=med22 PE=2 SV=1
OG0009557	sp|Q2HJ58|PRPS1_BOVIN Ribose-phosphate pyrophosphokinase 1 OS=Bos taurus OX=9913 GN=PRPS1 PE=2 SV=3
OG0009559	sp|O43897|TLL1_HUMAN Tolloid-like protein 1 OS=Homo sapiens OX=9606 GN=TLL1 PE=1 SV=1
OG0009561	sp|Q07352|TISB_HUMAN mRNA decay activator protein ZFP36L1 OS=Homo sapiens OX=9606 GN=ZFP36L1 PE=1 SV=1
OG0009562	sp|Q09665|TNNC2_CAEEL Troponin C isoform 2 OS=Caenorhabditis elegans OX=6239 GN=tnc-2 PE=2 SV=1
OG0009564	sp|Q4R5E2|NDUA2_MACFA NADH dehydrogenase
OG0009570	sp|Q9UNW9|NOVA2_HUMAN RNA-binding protein Nova-2 OS=Homo sapiens OX=9606 GN=NOVA2 PE=1 SV=1
OG0009571	sp|Q9WTM5|RUVB2_MOUSE RuvB-like 2 OS=Mus musculus OX=10090 GN=Ruvbl2 PE=1 SV=3
OG0009575	sp|O91466|CATV_GVCPM Viral cathepsin OS=Cydia pomonella granulosis virus (isolate Mexico/1963) OX=654905 GN=VCATH PE=3 SV=1
OG0009576	sp|Q4R8G6|MEIOB_MACFA Meiosis-specific with OB domain-containing protein OS=Macaca fascicularis OX=9541 GN=MEIOB PE=2 SV=1
OG0009579	sp|Q15399|TLR1_HUMAN Toll-like receptor 1 OS=Homo sapiens OX=9606 GN=TLR1 PE=1 SV=3
OG0009582	sp|Q54GD9|ARV1_DICDI Protein arv1 homolog OS=Dictyostelium discoideum OX=44689 GN=arv1 PE=3 SV=1
OG0009585	sp|Q9V8I2|LTOR2_DROME Ragulator complex protein LAMTOR2 homolog OS=Drosophila melanogaster OX=7227 GN=CG5189 PE=2 SV=1
OG0009586	sp|P13360|GLAS_DROME Protein glass OS=Drosophila melanogaster OX=7227 GN=gl PE=1 SV=2
OG0009589	sp|Q5I0X7|TTC32_HUMAN Tetratricopeptide repeat protein 32 OS=Homo sapiens OX=9606 GN=TTC32 PE=1 SV=1
OG0009590	sp|Q804S2|BMP2_TETNG Bone morphogenetic protein 2 OS=Tetraodon nigroviridis OX=99883 GN=bmp2 PE=3 SV=2
OG0009593	sp|A0PJN4|U2QL1_MOUSE Ubiquitin-conjugating enzyme E2Q-like protein 1 OS=Mus musculus OX=10090 GN=Ube2ql1 PE=2 SV=2
OG0009594	sp|O65315|ACT_COLSC Actin OS=Coleochaete scutata OX=3125 PE=2 SV=1
OG0009596	sp|Q6DE14|E2F4_XENLA Transcription factor E2F4 OS=Xenopus laevis OX=8355 GN=e2f4 PE=1 SV=1
OG0009597	sp|O97508|THIO_HORSE Thioredoxin OS=Equus caballus OX=9796 GN=TXN PE=3 SV=3
OG0009599	sp|Q6DBY9|CHST1_DANRE Carbohydrate sulfotransferase 1 OS=Danio rerio OX=7955 GN=chst1 PE=2 SV=2
OG0009600	sp|Q14315|FLNC_HUMAN Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3
OG0009601	sp|Q9NPC2|KCNK9_HUMAN Potassium channel subfamily K member 9 OS=Homo sapiens OX=9606 GN=KCNK9 PE=1 SV=1
OG0009602	sp|P25931|RYAR_DROME RYamide receptor OS=Drosophila melanogaster OX=7227 GN=RYa-R PE=2 SV=2
OG0009603	sp|P9WLL4|Y2075_MYCTO Uncharacterized protein MT2135 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=MT2135 PE=4 SV=1
OG0009604	sp|P21328|RTJK_DROME RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster OX=7227 GN=pol PE=1 SV=1
OG0009609	sp|Q9V427|INX2_DROME Innexin inx2 OS=Drosophila melanogaster OX=7227 GN=Inx2 PE=1 SV=1
OG0009614	sp|Q9LSS7|RUBP1_ARATH NEDD8-specific protease 1 OS=Arabidopsis thaliana OX=3702 GN=NEDP1 PE=2 SV=1
OG0009615	sp|Q9CY94|PSF3_MOUSE DNA replication complex GINS protein PSF3 OS=Mus musculus OX=10090 GN=Gins3 PE=2 SV=1
OG0009616	sp|Q8UUY8|ADRB2_ONCMY Beta-2 adrenergic receptor OS=Oncorhynchus mykiss OX=8022 GN=adrb2 PE=2 SV=1
OG0009619	sp|Q6AYA1|GAR1_RAT H/ACA ribonucleoprotein complex subunit 1 OS=Rattus norvegicus OX=10116 GN=Gar1 PE=2 SV=1
OG0009621	sp|O54820|PAPS1_CAVPO Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Cavia porcellus OX=10141 GN=PAPSS1 PE=2 SV=1
OG0009623	sp|B4F6Y3|LTOR3_XENTR Ragulator complex protein LAMTOR3 OS=Xenopus tropicalis OX=8364 GN=lamtor3 PE=2 SV=1
OG0009624	sp|Q6P0I8|EXOS6_DANRE Exosome complex component MTR3 OS=Danio rerio OX=7955 GN=exosc6 PE=2 SV=2
OG0009627	sp|Q6NZZ4|TM107_DANRE Transmembrane protein 107 OS=Danio rerio OX=7955 GN=tmem107 PE=2 SV=1
OG0009629	sp|Q8WYH8|ING5_HUMAN Inhibitor of growth protein 5 OS=Homo sapiens OX=9606 GN=ING5 PE=1 SV=1
OG0009630	sp|O94929|ABLM3_HUMAN Actin-binding LIM protein 3 OS=Homo sapiens OX=9606 GN=ABLIM3 PE=1 SV=3
OG0009633	sp|P97524|S27A2_RAT Very long-chain acyl-CoA synthetase OS=Rattus norvegicus OX=10116 GN=Slc27a2 PE=1 SV=1
OG0009637	sp|Q93126|GPR9_AMPAM Probable G-protein coupled receptor No9 OS=Amphibalanus amphitrite OX=1232801 PE=3 SV=1
OG0009638	sp|Q8ITC7|CAPAR_DROME Neuropeptides capa receptor OS=Drosophila melanogaster OX=7227 GN=CapaR PE=2 SV=3
OG0009643	sp|B3EWY9|MLP_ACRMI Mucin-like protein (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1
OG0009647	sp|Q14202|ZMYM3_HUMAN Zinc finger MYM-type protein 3 OS=Homo sapiens OX=9606 GN=ZMYM3 PE=1 SV=2
OG0009648	sp|Q5NDL3|EOGT_CHICK EGF domain-specific O-linked N-acetylglucosamine transferase OS=Gallus gallus OX=9031 GN=EOGT PE=2 SV=2
OG0009652	sp|Q7ZY85|NEPR1_XENLA Nuclear envelope phosphatase-regulatory subunit 1 OS=Xenopus laevis OX=8355 GN=cnep1r1 PE=2 SV=1
OG0009655	sp|Q3UIK4|MET14_MOUSE N6-adenosine-methyltransferase non-catalytic subunit OS=Mus musculus OX=10090 GN=Mettl14 PE=1 SV=1
OG0009657	sp|Q5XXP2|OPN4_PHOSU Melanopsin OS=Phodopus sungorus OX=10044 GN=OPN4 PE=2 SV=1
OG0009658	sp|Q5U520|UN50B_XENLA Protein unc-50 homolog B OS=Xenopus laevis OX=8355 GN=unc50-b PE=2 SV=1
OG0009660	sp|O73698|PUT2_TAKRU Putative protein 2 (Fragment) OS=Takifugu rubripes OX=31033 PE=3 SV=1
OG0009662	sp|Q9XZV3|GNAO_GEOCY Guanine nucleotide-binding protein G(o) subunit alpha OS=Geodia cydonium OX=6047 PE=2 SV=3
OG0009665	sp|Q1LZ79|GEMI8_BOVIN Gem-associated protein 8 OS=Bos taurus OX=9913 GN=GEMIN8 PE=2 SV=1
OG0009669	sp|Q8C1A9|ABD18_MOUSE Protein ABHD18 OS=Mus musculus OX=10090 GN=Abhd18 PE=2 SV=1
OG0009675	sp|F1MNN4|FBXW7_BOVIN F-box/WD repeat-containing protein 7 OS=Bos taurus OX=9913 GN=FBXW7 PE=1 SV=2
OG0009678	sp|A2RRT3|FB31A_XENLA F-box only protein 31-A OS=Xenopus laevis OX=8355 GN=fbxo31-a PE=2 SV=1
OG0009680	sp|P08519|APOA_HUMAN Apolipoprotein(a) OS=Homo sapiens OX=9606 GN=LPA PE=1 SV=1
OG0009681	sp|Q29RS4|IN80E_BOVIN INO80 complex subunit E OS=Bos taurus OX=9913 GN=INO80E PE=2 SV=1
OG0009682	sp|Q00316|PX11A_CANBO Peroxisomal membrane protein PMP30A OS=Candida boidinii OX=5477 GN=PEX11A PE=1 SV=1
OG0009686	sp|P08427|SFTPA_RAT Pulmonary surfactant-associated protein A OS=Rattus norvegicus OX=10116 GN=Sftpa1 PE=1 SV=3
OG0009688	sp|Q6ZR08|DYH12_HUMAN Dynein heavy chain 12 axonemal OS=Homo sapiens OX=9606 GN=DNAH12 PE=2 SV=2
OG0009691	sp|P38659|PDIA4_RAT Protein disulfide-isomerase A4 OS=Rattus norvegicus OX=10116 GN=Pdia4 PE=1 SV=2
OG0009692	sp|P41413|PCSK5_RAT Proprotein convertase subtilisin/kexin type 5 OS=Rattus norvegicus OX=10116 GN=Pcsk5 PE=2 SV=3
OG0009697	sp|P10925|ZFY1_MOUSE Zinc finger Y-chromosomal protein 1 OS=Mus musculus OX=10090 GN=Zfy1 PE=2 SV=3
OG0009700	sp|Q9HAJ7|SP30L_HUMAN Histone deacetylase complex subunit SAP30L OS=Homo sapiens OX=9606 GN=SAP30L PE=1 SV=1
OG0009703	sp|Q9D081|ALG14_MOUSE UDP-N-acetylglucosamine transferase subunit ALG14 homolog OS=Mus musculus OX=10090 GN=Alg14 PE=1 SV=1
OG0009705	sp|Q6TCG8|PAQR3_MOUSE Progestin and adipoQ receptor family member 3 OS=Mus musculus OX=10090 GN=Paqr3 PE=2 SV=1
OG0009708	sp|Q9BSD7|NTPCR_HUMAN Cancer-related nucleoside-triphosphatase OS=Homo sapiens OX=9606 GN=NTPCR PE=1 SV=1
OG0009709	sp|Q8TEQ0|SNX29_HUMAN Sorting nexin-29 OS=Homo sapiens OX=9606 GN=SNX29 PE=1 SV=3
OG0009712	sp|Q9Y6A2|CP46A_HUMAN Cholesterol 24-hydroxylase OS=Homo sapiens OX=9606 GN=CYP46A1 PE=1 SV=1
OG0009714	sp|Q8VYR2|NUDT9_ARATH Nudix hydrolase 9 OS=Arabidopsis thaliana OX=3702 GN=NUDT9 PE=2 SV=1
OG0009715	sp|Q76IC5|PGPI_RAT Pyroglutamyl-peptidase 1 OS=Rattus norvegicus OX=10116 GN=Pgpep1 PE=1 SV=1
OG0009716	sp|Q8BHG9|CGBP1_MOUSE CGG triplet repeat-binding protein 1 OS=Mus musculus OX=10090 GN=Cggbp1 PE=1 SV=1
OG0009717	sp|Q9W2X7|YPL1_DROME Protein yippee-like CG15309 OS=Drosophila melanogaster OX=7227 GN=CG15309 PE=3 SV=1
OG0009719	sp|A0PJE2|DHR12_HUMAN Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens OX=9606 GN=DHRS12 PE=2 SV=2
OG0009721	sp|F4J4C8|EVN_ARATH Dolichol kinase EVAN OS=Arabidopsis thaliana OX=3702 GN=EVN PE=2 SV=1
OG0009722	sp|Q10286|ITR1_SCHPO Myo-inositol transporter 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=itr1 PE=3 SV=1
OG0009723	sp|Q09665|TNNC2_CAEEL Troponin C isoform 2 OS=Caenorhabditis elegans OX=6239 GN=tnc-2 PE=2 SV=1
